Nomor Akun (CoA),Uraian,Kategori (Sheet),is_postable
21,KOLEKTE / PERSEMBAHAN,PENERIMAAN,FALSE
21.01,Kolekte Ibadah Umum,PENERIMAAN,FALSE
21.01.01,Ibadah Hari Minggu Pagi,PENERIMAAN,TRUE
21.01.02,Ibadah Hari Minggu Sore,PENERIMAAN,TRUE
21.01.03,Ibadah Malam Natal,PENERIMAAN,TRUE
21.01.04,Ibadah Natal I,PENERIMAAN,TRUE
21.01.05,Ibadah Natal II,PENERIMAAN,TRUE
21.01.06,Ibadah Malam Akhir Tahun,PENERIMAAN,TRUE
21.01.07,Ibadah Tahun Baru,PENERIMAAN,TRUE
21.02,Kolekte Ibadah Keluarga,PENERIMAAN,FALSE
21.02.01,Ibadah Rumah Tangga,PENERIMAAN,TRUE
21.02.02,Ibadah keluarga malam Natal,PENERIMAAN,TRUE
21.02.03,Ibadah keluarga malam Akhir Tahun,PENERIMAAN,TRUE
21.03,Kolekte Ibadah Unit Misioner (PELKAT),PENERIMAAN,FALSE
21.03.01,Pelkat Persekutuan Anak (PA),PENERIMAAN,TRUE
21.03.02,Pelkat Persekutuan Taruna (PT),PENERIMAAN,TRUE
21.03.03,Pelkat Gerakan Pemuda (GP),PENERIMAAN,TRUE
21.03.04,Pelkat Persekutuan Kaum Perempuan (PKP),PENERIMAAN,TRUE
21.03.05,Pelkat Persekutuan Kaum Bapak (PKB),PENERIMAAN,TRUE
21.03.06,Pelkat Persekutuan Kaum Lanjut Usia (PKLU),PENERIMAAN,TRUE
21.04,Kolekte Ibadah Komisi,PENERIMAAN,FALSE
21.04.01,Diakonia,PENERIMAAN,TRUE
21.04.02,Kelas Katekisasi,PENERIMAAN,TRUE
21.05,Kolekte Pengucapan Syukur,PENERIMAAN,TRUE
21.06,Kolekte Ibadah Jumat Agung,PENERIMAAN,TRUE
21.07,Kolekte Ibadah Lainnya,PENERIMAAN,FALSE
21.07.01,Ibadah Paskah Subuh,PENERIMAAN,TRUE
21.07.02,Ibadah Paskah Pelkat PA,PENERIMAAN,TRUE
21.07.03,Ibadah Kenaikan Tuhan Yesus,PENERIMAAN,TRUE
21.07.04,Ibadah HUT Hosiana,PENERIMAAN,TRUE
21.07.05,Ibadah HUT RI,PENERIMAAN,TRUE
21.07.06,Ibadah Hari Doa GPIB,PENERIMAAN,TRUE
21.07.07,"Gabungan MUPEL GP,PKP,PKB",PENERIMAAN,TRUE
21.08,Persembahan Persepuluhan,PENERIMAAN,TRUE
21.09,Persembahan Syukur,PENERIMAAN,FALSE
21.09.01,Ibadah Minggu pagi,PENERIMAAN,TRUE
21.09.02,Ibadah Minggu sore,PENERIMAAN,TRUE
21.09.03,Ibadah Malam Natal,PENERIMAAN,TRUE
21.09.04,Ibadah Hari Natal,PENERIMAAN,TRUE
21.09.05,Ibadah Hari Natal 2,PENERIMAAN,TRUE
21.09.06,Ibadah Malam Akhir Tahun,PENERIMAAN,TRUE
21.09.07,Ibadah Tahun Baru,PENERIMAAN,TRUE
21.10,Persembahan Khusus,PENERIMAAN,FALSE
21.10.01,a. Perorangan,PENERIMAAN,TRUE
21.10.02,b. Perjamuan Kudus,PENERIMAAN,TRUE
21.10.03,c. Malam Natal,PENERIMAAN,TRUE
21.10.04,d. Hari Natal,PENERIMAAN,TRUE
21.10.05,e. Malam Akhir Tahun,PENERIMAAN,TRUE
